2022-05-12 03:01:10.204390400 T> capture finish 7 ms
2022-05-12 03:01:10.211158000 T> capture finish 6 ms
2022-05-12 03:01:10.217370300 T> capture finish 5 ms
2022-05-12 03:01:10.223325400 T> capture finish 5 ms
2022-05-12 03:01:10.229603300 T> capture finish 6 ms
2022-05-12 03:01:10.236254800 T> capture finish 6 ms
2022-05-12 03:01:10.243971000 T> capture finish 7 ms
2022-05-12 03:01:10.250452500 T> capture finish 6 ms
2022-05-12 03:01:10.257140800 T> capture finish 6 ms
2022-05-12 03:01:10.263109500 T> capture finish 5 ms
2022-05-12 03:01:10.269664200 T> capture finish 6 ms
2022-05-12 03:01:10.276270800 T> capture finish 6 ms
2022-05-12 03:01:10.283230900 T> capture finish 6 ms
2022-05-12 03:01:10.289680000 T> capture finish 6 ms
2022-05-12 03:01:10.295899400 T> capture finish 5 ms
2022-05-12 03:01:10.305427100 T> capture finish 9 ms
2022-05-12 03:01:10.312259300 T> capture finish 6 ms
2022-05-12 03:01:10.318704000 T> capture finish 6 ms
2022-05-12 03:01:10.324770300 T> capture finish 5 ms
2022-05-12 03:01:10.331113900 T> capture finish 6 ms
2022-05-12 03:01:10.337888300 T> capture finish 6 ms
2022-05-12 03:01:10.344870000 T> capture finish 6 ms
2022-05-12 03:01:10.351183300 T> capture finish 6 ms
2022-05-12 03:01:10.357583600 T> capture finish 6 ms
2022-05-12 03:01:10.365775100 T> capture finish 7 ms
2022-05-12 03:01:10.372011500 T> capture finish 5 ms
2022-05-12 03:01:10.378516600 T> capture finish 6 ms
2022-05-12 03:01:10.384668100 T> capture finish 5 ms
2022-05-12 03:01:10.391873400 T> capture finish 6 ms
2022-05-12 03:01:10.399569800 T> capture finish 7 ms
2022-05-12 03:01:10.405940300 T> capture finish 6 ms
2022-05-12 03:01:10.416203900 T> capture finish 9 ms
2022-05-12 03:01:10.424024400 T> capture finish 7 ms
2022-05-12 03:01:10.430121500 T> capture finish 5 ms
2022-05-12 03:01:10.437948400 T> capture finish 7 ms
2022-05-12 03:01:10.444044200 T> capture finish 5 ms
2022-05-12 03:01:10.450243400 T> capture finish 5 ms
2022-05-12 03:01:10.456514500 T> capture finish 6 ms
2022-05-12 03:01:10.462274500 T> capture finish 5 ms
2022-05-12 03:01:10.468109100 T> capture finish 5 ms
2022-05-12 03:01:10.475368700 T> capture finish 6 ms
2022-05-12 03:01:10.484870200 T> capture finish 9 ms
2022-05-12 03:01:10.493879600 T> capture finish 8 ms
2022-05-12 03:01:10.501581500 T> capture finish 7 ms
2022-05-12 03:01:10.510060900 T> capture finish 8 ms
2022-05-12 03:01:10.518880200 T> capture finish 8 ms
2022-05-12 03:01:10.527281500 T> capture finish 7 ms
2022-05-12 03:01:10.534570700 T> capture finish 7 ms
2022-05-12 03:01:10.541501800 T> capture finish 6 ms
2022-05-12 03:01:10.548117000 T> capture finish 6 ms
2022-05-12 03:01:10.554895100 T> capture finish 6 ms
2022-05-12 03:01:10.560980200 T> capture finish 5 ms
2022-05-12 03:01:10.567302400 T> capture finish 5 ms
2022-05-12 03:01:10.573836900 T> capture finish 6 ms
